,ride_id,seat_number,travel_from,max_capacity,travel_time_in_seconds,car_type_Bus,car_type_shuttle,payment_method_Cash,payment_method_Mpesa,new_time_frame
0,1442,0,371,1,435,1,0,0,1,365
1,5437,0,371,1,432,1,0,0,1,334
2,5710,0,280,1,425,1,0,0,1,334
3,5777,0,363,1,430,1,0,0,1,334
4,5778,0,371,1,432,1,0,0,1,334
5,5777,0,363,1,430,1,0,0,1,334
6,5777,0,363,1,430,1,0,0,1,334
7,5778,0,371,1,432,1,0,0,1,334
8,5778,0,371,1,432,1,0,0,1,334
9,5781,0,363,1,429,1,0,0,1,334
10,5781,0,363,1,429,1,0,0,1,334
11,5781,0,363,1,429,1,0,0,1,334
12,5784,0,306,0,310,0,1,0,1,100
13,5789,0,306,0,590,0,1,0,1,100
14,5778,0,371,1,432,1,0,0,1,334
15,5790,0,306,1,426,1,0,0,1,100
16,5791,0,306,0,360,0,1,0,1,100
17,5792,0,306,0,350,0,1,0,1,100
18,5793,0,306,0,658,0,1,0,1,100
19,5790,0,306,1,426,1,0,0,1,100
20,5794,0,306,0,410,0,1,0,1,100
21,5781,0,363,1,429,1,0,0,1,334
22,5778,0,371,1,432,1,0,0,1,334
23,5795,0,306,0,330,0,1,0,1,100
24,5796,0,306,0,400,0,1,0,1,100
25,5796,0,306,0,400,0,1,0,1,100
26,5794,0,306,0,410,0,1,0,1,100
27,5797,0,280,1,426,1,0,0,1,334
28,5798,0,306,0,550,0,1,0,1,100
29,5797,0,280,1,426,1,0,0,1,334
30,5800,0,306,0,300,0,1,0,1,100
31,5801,0,306,0,320,0,1,0,1,100
32,5781,0,363,1,429,1,0,0,1,334
33,5802,0,280,0,652,0,1,0,1,334
34,5802,0,280,0,652,0,1,0,1,334
35,5801,0,306,0,320,0,1,0,1,100
36,5801,0,306,0,320,0,1,0,1,100
37,5800,0,306,0,300,0,1,0,1,100
38,5801,0,306,0,320,0,1,0,1,100
39,5802,0,280,0,652,0,1,0,1,334
40,5801,0,306,0,320,0,1,0,1,100
41,5801,0,306,0,320,0,1,0,1,100
42,5801,0,306,0,320,0,1,0,1,100
43,5803,0,306,0,310,0,1,0,1,100
44,5801,0,306,0,320,0,1,0,1,100
45,5801,0,306,0,320,0,1,0,1,100
46,5801,0,306,0,320,0,1,0,1,100
47,5801,0,306,0,320,0,1,0,1,100
48,5803,0,306,0,310,0,1,0,1,100
